"Item_Identifier","Outlet_Identifier","Prediction (Item_Outlet_Sales)"
"FDW58","OUT049",1823
"FDW14","OUT017",1435
"NCN55","OUT010",1869
"FDQ58","OUT017",2619
"FDY38","OUT027",5085
"FDH56","OUT046",1971
"FDL48","OUT018",649
"FDC48","OUT027",2757
"FDN33","OUT045",1491
"FDA36","OUT017",3135
"FDT44","OUT017",2039
"FDQ56","OUT045",1351
"NCC54","OUT019",1856
"FDU11","OUT049",2023
"DRL59","OUT013",912
"FDM24","OUT049",2531
"FDI57","OUT045",3299
"DRC12","OUT018",2821
"NCM42","OUT027",3149
"FDA46","OUT010",1081
"FDA31","OUT013",2856
"NCJ31","OUT035",3895
"FDG52","OUT046",755
"NCL19","OUT019",384
"FDS10","OUT035",3063
"FDX22","OUT010",1453
"NCF19","OUT035",967
"NCE06","OUT046",2539
"DRC27","OUT046",3843
"FDE21","OUT035",2087
"NCR42","OUT019",-1368
"FDX51","OUT018",2953
"NCR06","OUT018",489
"FDU31","OUT027",4957
"FDU59","OUT017",2727
"FDR03","OUT027",4741
"FDS49","OUT027",2725
"FDD48","OUT010",-71
"NCF18","OUT017",3123
"NCD43","OUT027",3061
"NCD54","OUT018",2049
"FDY19","OUT010",-39
"NCY54","OUT017",2799
"NCL19","OUT018",2097
"FDP23","OUT010",1529
"FDC26","OUT013",1844
"FDR14","OUT010",-1151
"NCS41","OUT035",3103
"FDF41","OUT035",4055
"FDU34","OUT046",1995
"DRH11","OUT046",955
"FDM03","OUT013",1756
"FDS31","OUT017",3091
"FDJ20","OUT017",2147
"FDV44","OUT027",4493
"FDG02","OUT049",3119
"FDA09","OUT013",2976
"FDT04","OUT013",628
"FDL58","OUT019",2272
"FDE52","OUT045",1419
"FDW12","OUT035",2567
"FDL51","OUT017",3539
"NCY42","OUT027",3653
"FDR07","OUT017",1719
"FDN40","OUT045",2343
"FDB35","OUT027",2941
"FDA22","OUT017",2855
"NCL06","OUT046",4123
"FDI35","OUT013",2980
"NCW42","OUT045",3415
"NCX06","OUT049",2919
"FDC37","OUT027",3173
"FDZ14","OUT018",1757
"DRG49","OUT049",3931
"NCG06","OUT045",3971
"DRC36","OUT045",2735
"FDV21","OUT019",-16
"FDB53","OUT046",2315
"DRP47","OUT019",2016
"FDA14","OUT013",2296
"DRC24","OUT035",2623
"FDW21","OUT018",1469
"NCH29","OUT046",1595
"FDU58","OUT013",3104
"FDY27","OUT017",2931
"FDV56","OUT035",2047
"FDT59","OUT046",3659
"FDB23","OUT046",3691
"FDR49","OUT045",699
"FDB03","OUT010",1805
"FDN39","OUT045",2663
"FDX02","OUT027",4901
"FDQ16","OUT027",3125
"FDU35","OUT018",1381
"NCT29","OUT013",2008
"FDZ27","OUT046",811
"FDN57","OUT017",2363
"FDA03","OUT018",2109
"FDZ36","OUT045",2943
"NCU05","OUT013",1372
"FDT39","OUT018",2277
"FDK60","OUT017",1723
"FDZ25","OUT017",2899
"FDG12","OUT046",1931
"DRB01","OUT019",1152
"NCC43","OUT027",5317
"FDX13","OUT019",2056
"FDM22","OUT049",995
"FDJ03","OUT027",2213
"FDU14","OUT018",3717
"FDB33","OUT010",677
"FDP27","OUT046",3027
"FDO38","OUT010",-679
"FDE28","OUT027",5053
"FDO27","OUT035",1727
"DRL23","OUT027",3157
"FDS28","OUT046",955
"FDX24","OUT013",1592
"FDZ02","OUT035",1767
"FDL46","OUT045",1815
"FDS60","OUT027",4277
"NCO06","OUT017",631
"FDO16","OUT035",1575
"FDC60","OUT049",1511
"FDA48","OUT018",3249
"FDZ36","OUT027",4445
"FDK27","OUT045",1919
"FDW23","OUT018",441
"FDM14","OUT018",1597
"FDM14","OUT013",1844
"FDW60","OUT018",2685
"FDE21","OUT013",1988
"NCM42","OUT035",1935
"FDY59","OUT010",-379
"DRI49","OUT049",1307
"FDT28","OUT019",480
"FDQ22","OUT018",457
"FDR60","OUT049",1259
"FDC50","OUT019",-464
"FDV24","OUT013",2468
"DRF48","OUT010",1093
"FDQ47","OUT046",635
"DRN36","OUT049",1687
"NCY06","OUT035",2215
"FDE52","OUT035",1655
"NCB54","OUT045",1983
"NCF31","OUT035",2599
"FDJ08","OUT027",4429
"NCC07","OUT017",1815
"NCD19","OUT027",2285
"FDL46","OUT049",1999
"FDM20","OUT045",3887
"NCI06","OUT010",905
"DRM11","OUT035",4295
"NCH07","OUT018",2253
"FDS23","OUT013",2092
"FDO49","OUT018",689
"FDS35","OUT049",1119
"DRK39","OUT045",1255
"DRI39","OUT049",975
"FDV04","OUT017",2619
"NCN14","OUT035",3047
"FDH08","OUT013",3780
"FDS20","OUT046",2971
"FDV40","OUT049",1299
"FDZ48","OUT010",-167
"FDS24","OUT027",2877
"FDK44","OUT049",2847
"FDS48","OUT045",2383
"FDK26","OUT010",1121
"FDD23","OUT045",3023
"NCH54","OUT017",2623
"NCP14","OUT010",-299
"FDM60","OUT010",-1207
"FDV24","OUT017",2531
"FDH08","OUT018",3473
"FDS12","OUT027",3397
"FDR39","OUT027",4277
"FDP12","OUT027",2085
"DRF60","OUT027",5133
"FDC09","OUT035",1943
"FDF50","OUT018",2985
"FDG28","OUT035",4071
"NCE19","OUT017",995
"NCM53","OUT010",-195
"NCN18","OUT049",1855
"FDF32","OUT035",3383
"FDF11","OUT013",3944
"DRI59","OUT049",3659
"NCG54","OUT035",2839
"FDM44","OUT046",1707
"FDT57","OUT018",3529
"FDV24","OUT046",2411
"FDI50","OUT019",1792
"FDS09","OUT035",1071
"NCC31","OUT027",3853
"FDQ07","OUT019",1616
"FDC22","OUT017",3171
"FDZ56","OUT046",2763
"FDZ40","OUT019",-1016
"FDS46","OUT027",3349
"DRD24","OUT045",2187
"FDV45","OUT017",3127
"FDL26","OUT045",2435
"FDA56","OUT018",1825
"FDN27","OUT046",1931
"FDM20","OUT049",3999
"FDO16","OUT017",1479
"FDL03","OUT035",3359
"FDE58","OUT046",1883
"FDI02","OUT027",3245
"NCC55","OUT019",-1312
"FDR03","OUT018",3125
"FDB14","OUT017",1659
"FDR45","OUT013",3844
"NCN07","OUT017",2199
"FDM51","OUT019",-176
"FDT52","OUT027",5301
"FDL26","OUT046",2483
"NCZ42","OUT046",3787
"DRI47","OUT019",456
"FDW40","OUT013",2304
"FDN34","OUT046",2771
"FDS01","OUT035",3071
"NCG55","OUT045",1783
"FDC11","OUT035",1599
"FDX35","OUT018",3397
"NCB06","OUT046",2555
"FDR09","OUT019",2176
"FDC53","OUT017",1703
"FDY45","OUT013",4112
"FDA22","OUT010",765
"FDE02","OUT035",1719
"FDW21","OUT045",1635
"FDV34","OUT046",1275
"FDS59","OUT049",1875
"NCW17","OUT017",2187
"NCK54","OUT046",1883
"FDG17","OUT019",2000
"FDG35","OUT017",2983
"FDD08","OUT010",-1227
"NCO07","OUT017",3487
"FDJ10","OUT010",185
"FDW36","OUT017",1811
"FDW21","OUT010",-215
"FDY19","OUT017",2067
"DRE03","OUT013",820
"NCC55","OUT049",683
"FDH52","OUT010",-855
"FDO09","OUT017",4303
"FDU43","OUT045",3807
"FDX09","OUT010",837
"FDH40","OUT019",-560
"FDW58","OUT017",1827
"FDC47","OUT017",3687
"NCR41","OUT035",1703
"DRG49","OUT035",4039
"FDC52","OUT027",3861
"FDY13","OUT046",1275
"FDY35","OUT013",860
"FDI35","OUT017",3059
"NCU18","OUT049",2299
"FDY33","OUT018",2321
"FDC15","OUT027",3813
"FDU01","OUT049",3123
"NCU42","OUT046",2699
"NCV29","OUT018",2621
"NCY30","OUT017",3015
"FDQ46","OUT049",1847
"FDG58","OUT027",3877
"FDK33","OUT017",3519
"NCD07","OUT045",1775
"NCX29","OUT027",3693
"NCT42","OUT013",2412
"DRN59","OUT035",967
"FDI44","OUT035",1495
"FDA45","OUT049",2839
"FDP31","OUT045",1043
"FDY01","OUT046",1867
"FDT09","OUT018",1965
"DRH03","OUT027",2933
"FDA36","OUT018",2785
"NCF31","OUT017",2547
"FDG14","OUT049",2555
"FDG28","OUT027",5309
"FDU14","OUT049",3995
"FDY47","OUT019",240
"FDI56","OUT049",1559
"DRD01","OUT013",1012
"FDM22","OUT046",987
"FDH33","OUT013",732
"DRZ24","OUT013",1932
"NCQ38","OUT046",1707
"FDO16","OUT027",2773
"FDU07","OUT027",3829
"NCB07","OUT013",3096
"FDU48","OUT045",2067
"NCM43","OUT045",2571
"FDR31","OUT010",465
"DRK49","OUT018",469
"NCI30","OUT010",1897
"DRD60","OUT017",2999
"NCG19","OUT046",3651
"FDH12","OUT035",1847
"FDM32","OUT035",1735
"FDM27","OUT035",2679
"NCU53","OUT027",4077
"NCQ18","OUT046",1539
"FDS10","OUT013",2904
"FDB33","OUT027",3981
"FDI12","OUT013",1484
"NCW42","OUT013",3524
"NCC06","OUT018",1817
"FDW02","OUT017",2159
"NCD43","OUT017",1799
"FDM57","OUT018",1153
"FDA58","OUT017",3847
"FDK56","OUT046",2963
"FDP52","OUT045",3647
"FDW20","OUT018",1793
"FDS52","OUT049",1699
"NCT29","OUT018",1697
"NCL54","OUT013",2816
"FDC05","OUT045",3087
"FDF34","OUT035",3375
"FDP03","OUT027",3453
"FDD32","OUT010",-491
"FDZ10","OUT045",2007
"FDZ40","OUT035",1079
"FDD51","OUT018",449
"NCY30","OUT019",944
"FDP58","OUT017",3499
"FDV49","OUT017",4343
"FDY24","OUT019",-1056
"NCO55","OUT017",1819
"FDR13","OUT017",2079
"FDS51","OUT017",1179
